candidato,2017.05.17,2017.09.17,2017.12.17,2018.01.18,2018.03.18,region_bogota,region_norte,region_centrooriental,region_cafetera,region_suroccidental,ciudad_capital,ciudad_nocapital,zona_urbano,zona_rural,estrato_bajo,estrato_medio,estrato_alto,genero_masculino,genero_femenino,edad_18.24,edad_25.34,edad_35.44,edad_45.54,edad_55,partido_cambio.radical,partido_polo,partido_u,partido_liberal,partido_verde,partido_conservador,partido_centro.democratico,partido_decencia,partido_no,consulta_gran,consulta_inclusion,consulta_no.consulta,consulta_no.voto
duque,0,45.195,50.232,54.924,302.022,34.5,57.855,91.171,76.356,43.623,121.482,181.984,217.152,85.544,202.444,66.249,32.956,148.613,153.11,27.768,47.52,48.952,79.233,99.568,18.2,4.212,11.254,28.24,5.244,25.256,191.565,1.274,13.16,217.476,5.889,39.26,58.125
petro,91.59,68.12,85.514,140.295,175.686,45.77,46.417,30.275,12.978,38.184,95.778,78.848,148.248,27.064,122.408,41.616,11.473,111.901,64.05,36.401,34.21,33.988,28.371,41.552,10.75,17.145,12.138,20.72,13.851,5.74,7.525,42.924,12.92,2.52,110.985,18.46,40.375
fajardo,64.5,137.55,111.826,120.594,70.406,12.535,5.852,22.317,22.932,7.659,37.026,33.088,64.206,6.528,31.672,22.797,16.863,32.123,38.43,11.481,16.28,11.948,14.112,16.268,1.8,3.726,6.154,6.96,31.179,1.189,6.235,2.352,2.24,13.104,15.251,25.61,11.25
vargas,138.675,81.875,71.76,93.132,41.454,6.67,11.704,6.92,8.19,7.437,17.442,23.584,31.32,9.928,29.104,7.65,4.158,28.24,13.115,4.984,4.62,3.364,13.818,14.504,14.8,0.729,4.454,5.92,0.855,4.92,3.01,0,2.08,7.308,5.285,19.11,5.25
delacalle,34.83,54.365,54.418,65.67,32.9,7.36,6.916,7.266,1.386,9.879,15.912,16.544,29.754,2.992,21.4,7.497,3.85,15.885,16.47,2.937,3.85,5.22,3.528,17.248,2.6,1.188,0,16.24,3.591,1.23,0,2.45,0.88,3.276,5.738,16.38,3.625
morales,0,0,0,13.134,16.45,2.415,1.596,6.92,2.142,3.774,7.344,9.152,15.138,1.496,11.984,0.612,3.696,5.295,11.285,2.581,1.98,3.828,6.468,1.764,1.45,0,0,1.04,0,1.681,3.655,0,2,4.536,3.473,5.85,2.25
cordoba,18.06,9.17,13.156,10.149,3.948,0.92,2.66,0,0,0,2.754,1.056,3.132,0.952,2.996,0.918,0,2.824,0.915,0,0,3.944,0,0,0,0,0,0.96,0,0,2.15,0,0,1.26,0,0,1.75
lopez,54.18,20.96,17.342,25.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pinzon,15.48,7.86,5.382,20.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
londono,0,0,12.558,9.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramirez,41.925,30.13,52.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lopez,38.7,73.36,41.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
galan,0,57.64,21.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robledo,25.8,34.715,11.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordones,31.605,20.305,7.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanco,40.635,13.755,35.88,39.999,15.134,4.83,0,7.958,2.016,0.444,7.956,7.392,13.572,1.632,5.564,5.661,4.004,7.766,7.32,2.848,1.54,4.64,1.323,4.9,0.4,0,0,0,2.28,0.984,1.29,0,6.76,2.52,4.379,5.33,2.375
